consent_id,customer_ref,provider_id,institution_id,purpose,presented_scopes,granted_scopes,notice_version,auth_method,channel,created_at,expires_at,status,revoked_at,revoked_by,revocation_reason,seconds_on_consent_screen,opened_scope_detail
cns_00102,cus_synthetic_0073,tpp_012,bank_005,categorizacion de gastos,accounts:balances|accounts:list|credits:arrears,credits:arrears,consent-notice-v2,sca-app,web,2026-06-16,2026-09-14,vigente,,,,1.3,0
cns_00103,cus_synthetic_0390,tpp_012,bank_005,panel de posicion consolidada,accounts:balances|investments:position|payments:initiate,accounts:balances|investments:position,consent-notice-v3,sca-otp,movil,2026-02-06,2027-02-01,vigente,,,,1.2,0
cns_00104,cus_synthetic_0093,tpp_004,bank_002,categorizacion de gastos,accounts:balances|accounts:transactions|credits:position|investments:position,accounts:transactions|investments:position,consent-notice-v3,sca-biometria,movil,2026-03-28,2026-09-24,revocado,2026-06-16,cliente,no indicado,3.4,0
cns_00105,cus_synthetic_0263,tpp_011,bank_005,categorizacion de gastos,investments:position,investments:position,consent-notice-v3,sca-otp,movil,2026-06-11,2026-12-08,expirado,,,,3.7,0
cns_00106,cus_synthetic_0319,tpp_011,bank_003,panel de posicion consolidada,credits:position,credits:position,consent-notice-v3,sca-app,web,2026-02-23,2026-08-22,revocado,2026-04-13,cliente,ya no lo uso,1.5,0
cns_00107,cus_synthetic_0300,tpp_009,bank_003,salud financiera,accounts:balances|accounts:list|accounts:transactions|investments:position|payments:initiate,accounts:balances|accounts:list|accounts:transactions|payments:initiate,consent-notice-v2,sca-app,web,2026-04-03,2026-07-02,revocado,2026-04-10,cliente,no indicado,2.6,0
cns_00108,cus_synthetic_0212,tpp_009,bank_005,iniciacion de pago unico,accounts:list|credits:arrears,accounts:list,consent-notice-v2,sca-app,web,2026-05-06,2026-11-02,rechazado,,,,8.7,0
cns_00109,cus_synthetic_0384,tpp_009,bank_003,iniciacion de pago unico,accounts:balances|accounts:list|credits:arrears|credits:position,accounts:balances|accounts:list|credits:arrears|credits:position,consent-notice-v3,sca-app,web,2026-03-19,2026-06-17,vigente,,,,3.8,0
cns_00110,cus_synthetic_0286,tpp_012,bank_001,salud financiera,accounts:balances|accounts:list|credits:arrears|investments:position|payments:initiate,accounts:balances|credits:arrears|payments:initiate,consent-notice-v2,sca-biometria,movil,2026-07-02,2027-06-27,vigente,,,,2.2,0
cns_00111,cus_synthetic_0382,tpp_003,bank_004,comparador de credito,accounts:list|accounts:transactions|credits:position|investments:position|payments:initiate,accounts:list|accounts:transactions|payments:initiate,consent-notice-v3,sca-app,movil,2026-05-28,2026-08-26,revocado,2026-05-28,cliente,cambio de aplicacion,3.3,0
