transaction_id,account_id,hour,amount,channel,country_code,is_anomaly
T00056,ACC006,12,63879,web,CL,0
T00057,ACC023,20,1701,pos,CL,0
T00058,ACC008,16,124184,web,CL,0
T00059,ACC003,16,76524,pos,CL,0
T00060,ACC014,15,62190,mobile,CL,0
T00061,ACC030,14,31087,mobile,CL,0
T00062,ACC002,11,70633,web,CL,0
T00063,ACC015,16,44495,atm,CL,0
T00064,ACC023,21,33598,atm,CL,0
T00065,ACC015,15,106515,pos,CL,0
T00066,ACC024,8,22087,pos,CL,0
T00067,ACC003,15,85494,web,CL,0
T00068,ACC019,7,61011,atm,CL,0
T00069,ACC017,12,11546,pos,CL,0
T00070,ACC019,15,116927,mobile,CL,0
T00071,ACC016,22,115264,web,CL,0
T00072,ACC011,20,92215,atm,CL,0
T00073,ACC014,12,28420,atm,CL,0
T00074,ACC027,16,130884,pos,CL,0
T00075,ACC003,8,145204,pos,CL,0
T00076,ACC004,15,83448,atm,CL,0
T00077,ACC022,23,106952,web,CL,0
T00078,ACC002,21,143237,pos,CL,0
T00079,ACC020,23,50173,atm,CL,0
T00080,ACC007,21,131676,web,CL,0
T00081,ACC015,11,71007,atm,CL,0
T00082,ACC021,10,128064,web,CL,0
T00083,ACC018,12,63730,atm,CL,0
T00084,ACC008,20,4584,web,CL,0
T00085,ACC021,21,30743,web,CL,0
T00086,ACC017,22,41362,atm,CL,0
T00087,ACC016,20,72676,pos,CL,0
T00088,ACC013,21,64892,mobile,CL,0
T00089,ACC028,23,50967,mobile,CL,0
T00090,ACC011,15,19300,pos,CL,0
T00091,ACC010,15,134100,web,CL,0
T00092,ACC015,22,79264,mobile,CL,0
T00093,ACC011,22,142185,atm,CL,0
T00094,ACC030,4,3514909,pos,XY,1
T00095,ACC019,13,85352,mobile,CL,0
T00096,ACC002,14,101393,pos,CL,0
T00097,ACC013,22,84408,pos,CL,0
T00098,ACC005,22,40873,web,CL,0
T00099,ACC028,17,132672,web,CL,0
T00100,ACC001,10,116423,pos,CL,0
T00101,ACC003,20,38789,mobile,CL,0
T00102,ACC020,15,124074,atm,CL,0
T00103,ACC028,9,105197,atm,CL,0
T00104,ACC021,19,140885,atm,CL,0
T00105,ACC008,8,128912,web,CL,0
T00106,ACC014,14,76334,web,CL,0
T00107,ACC006,10,26806,pos,CL,0
T00108,ACC011,7,79503,web,CL,0
T00109,ACC012,16,15711,atm,CL,0
T00110,ACC017,11,113901,mobile,CL,0
T00111,ACC006,12,109016,mobile,CL,0
T00112,ACC016,19,21701,mobile,CL,0
T00113,ACC021,14,38517,pos,CL,0
T00114,ACC022,21,67578,atm,CL,0
T00115,ACC022,21,3463,atm,CL,0
T00116,ACC015,12,144287,web,CL,0
T00117,ACC023,16,91587,pos,CL,0
T00118,ACC007,21,66561,atm,CL,0
T00119,ACC008,22,101845,web,CL,0
T00120,ACC023,18,100972,atm,CL,0
T00121,ACC009,7,78392,pos,CL,0
T00122,ACC027,8,3122,pos,CL,0
T00123,ACC008,14,76024,atm,CL,0
T00124,ACC021,15,50841,mobile,CL,0
T00125,ACC026,8,26470,atm,CL,0
T00126,ACC024,8,116559,atm,CL,0
T00127,ACC011,9,35448,atm,CL,0
T00128,ACC005,12,109921,mobile,CL,0
T00129,ACC027,18,142402,atm,CL,0
T00130,ACC026,15,44134,pos,CL,0
T00131,ACC015,17,78369,web,CL,0
T00132,ACC028,11,20739,mobile,CL,0
T00133,ACC026,18,105179,web,CL,0
T00134,ACC018,7,104435,atm,CL,0
T00135,ACC022,21,33398,atm,CL,0
T00136,ACC004,19,69724,atm,CL,0
T00137,ACC020,22,62295,web,CL,0
T00138,ACC021,17,148169,mobile,CL,0
T00139,ACC021,21,17571,atm,CL,0
T00140,ACC002,10,108032,mobile,CL,0
T00141,ACC004,2,1356078,pos,ZZ,1
T00142,ACC015,11,62551,pos,CL,0
T00143,ACC029,20,98258,mobile,CL,0
T00144,ACC020,10,109759,pos,CL,0
T00145,ACC023,15,107985,web,CL,0
T00146,ACC015,13,98132,pos,CL,0
T00147,ACC022,18,62895,web,CL,0
T00148,ACC013,18,97294,web,CL,0
T00149,ACC028,13,73320,web,CL,0
T00150,ACC021,9,120201,mobile,CL,0
T00151,ACC008,8,6598,atm,CL,0
T00152,ACC027,13,34010,web,CL,0
T00153,ACC027,13,146282,mobile,CL,0
T00154,ACC026,17,62079,mobile,CL,0
T00155,ACC005,15,1743,mobile,CL,0
T00156,ACC004,15,142614,mobile,CL,0
T00157,ACC012,11,7758,web,CL,0
T00158,ACC006,17,63372,web,CL,0
T00159,ACC024,8,70564,mobile,CL,0
T00160,ACC024,23,111352,web,CL,0
T00161,ACC025,22,17661,pos,CL,0
T00162,ACC015,23,95906,web,CL,0
T00163,ACC024,14,133078,web,CL,0
T00164,ACC021,16,137695,pos,CL,0
T00165,ACC028,8,9165,pos,CL,0
T00166,ACC016,20,106281,web,CL,0
T00167,ACC011,9,117277,web,CL,0
T00168,ACC009,9,39884,mobile,CL,0
T00169,ACC020,17,144748,pos,CL,0
T00170,ACC017,16,140082,pos,CL,0
T00171,ACC028,10,113774,web,CL,0
T00172,ACC015,13,145529,pos,CL,0
T00173,ACC027,20,60898,atm,CL,0
T00174,ACC024,19,119882,pos,CL,0
T00175,ACC011,17,25926,pos,CL,0
T00176,ACC022,18,67817,mobile,CL,0
T00177,ACC027,9,125326,web,CL,0
T00178,ACC004,9,23377,pos,CL,0
T00179,ACC019,11,98687,web,CL,0
T00180,ACC014,17,148216,web,CL,0
T00181,ACC010,20,93693,web,CL,0
T00182,ACC019,18,82906,web,CL,0
T00183,ACC022,13,134015,mobile,CL,0
T00184,ACC012,14,127403,web,CL,0
T00185,ACC025,18,146821,web,CL,0
T00186,ACC028,14,74024,pos,CL,0
T00187,ACC001,7,148053,atm,CL,0
T00188,ACC012,2,1956719,atm,XY,1
T00189,ACC019,12,2600,mobile,CL,0
T00190,ACC024,9,106063,mobile,CL,0
T00191,ACC013,9,9036,mobile,CL,0
T00192,ACC006,21,111056,atm,CL,0
T00193,ACC025,16,98007,atm,CL,0
T00194,ACC005,9,149791,web,CL,0
T00195,ACC009,8,42264,web,CL,0
T00196,ACC020,20,117159,pos,CL,0
T00197,ACC007,20,116879,atm,CL,0
T00198,ACC014,10,135308,atm,CL,0
T00199,ACC017,16,30069,pos,CL,0
T00200,ACC013,8,81850,mobile,CL,0
T00201,ACC010,7,15360,mobile,CL,0
T00202,ACC010,11,56373,atm,CL,0
T00203,ACC016,10,87015,web,CL,0
T00204,ACC013,12,113893,mobile,CL,0
T00205,ACC003,14,140613,atm,CL,0
T00206,ACC001,8,105089,pos,CL,0
T00207,ACC019,9,121521,atm,CL,0
T00208,ACC010,19,113534,pos,CL,0
T00209,ACC011,19,31192,web,CL,0
T00210,ACC003,21,46055,atm,CL,0
T00211,ACC014,10,115481,mobile,CL,0
T00212,ACC013,23,105975,web,CL,0
T00213,ACC011,17,82336,mobile,CL,0
T00214,ACC017,9,45074,web,CL,0
T00215,ACC012,13,134680,atm,CL,0
T00216,ACC005,14,39716,web,CL,0
T00217,ACC020,13,68100,mobile,CL,0
T00218,ACC025,9,41073,mobile,CL,0
T00219,ACC022,21,130529,pos,CL,0
T00220,ACC005,17,148978,atm,CL,0
T00221,ACC015,9,116281,pos,CL,0
T00222,ACC012,15,80382,web,CL,0
T00223,ACC015,9,133995,atm,CL,0
T00224,ACC012,8,119466,web,CL,0
T00225,ACC020,9,76255,web,CL,0
T00226,ACC019,19,133924,pos,CL,0
T00227,ACC030,8,146310,pos,CL,0
T00228,ACC017,17,50345,pos,CL,0
T00229,ACC004,8,40547,pos,CL,0
T00230,ACC002,9,91030,mobile,CL,0
T00231,ACC017,21,65944,pos,CL,0
T00232,ACC012,12,138035,atm,CL,0
T00233,ACC025,19,75158,pos,CL,0
T00234,ACC003,8,89700,atm,CL,0
T00235,ACC009,0,2582823,pos,XY,1
T00236,ACC019,17,40419,web,CL,0
T00237,ACC021,18,38074,atm,CL,0
T00238,ACC010,11,103749,web,CL,0
T00239,ACC027,19,147518,atm,CL,0
T00240,ACC021,23,34500,web,CL,0
T00241,ACC001,23,111993,atm,CL,0
T00242,ACC007,16,96052,mobile,CL,0
T00243,ACC008,22,90583,mobile,CL,0
T00244,ACC010,11,37061,web,CL,0
T00245,ACC022,23,27513,web,CL,0
T00246,ACC005,11,89280,pos,CL,0
T00247,ACC024,12,43532,mobile,CL,0
T00248,ACC012,8,115733,pos,CL,0
T00249,ACC025,21,63267,atm,CL,0
T00250,ACC010,14,118683,mobile,CL,0
T00251,ACC022,13,123949,atm,CL,0
T00252,ACC025,21,116499,atm,CL,0
T00253,ACC006,23,101105,pos,CL,0
T00254,ACC002,11,53349,atm,CL,0
T00255,ACC023,18,126983,web,CL,0
T00256,ACC003,10,136242,atm,CL,0
T00257,ACC029,15,43024,pos,CL,0
T00258,ACC003,11,135572,pos,CL,0
T00259,ACC030,21,59205,atm,CL,0
T00260,ACC013,20,7991,web,CL,0
T00261,ACC013,18,132598,mobile,CL,0
T00262,ACC001,18,22392,mobile,CL,0
T00263,ACC026,10,84541,atm,CL,0
T00264,ACC010,11,39285,web,CL,0
T00265,ACC015,11,124851,pos,CL,0
T00266,ACC009,9,2376,web,CL,0
T00267,ACC004,11,57532,pos,CL,0
T00268,ACC004,14,76524,atm,CL,0
T00269,ACC021,14,13517,pos,CL,0
T00270,ACC027,9,120829,web,CL,0
T00271,ACC023,7,132027,mobile,CL,0
T00272,ACC001,16,38637,pos,CL,0
T00273,ACC006,14,93488,pos,CL,0
T00274,ACC003,23,23443,atm,CL,0
T00275,ACC013,23,138903,web,CL,0
T00276,ACC012,8,124243,pos,CL,0
T00277,ACC026,7,67492,atm,CL,0
T00278,ACC024,18,18710,mobile,CL,0
T00279,ACC002,17,28174,mobile,CL,0
T00280,ACC027,17,93353,mobile,CL,0
T00281,ACC026,22,122798,mobile,CL,0
T00282,ACC010,0,1765612,pos,ZZ,1
T00283,ACC029,8,53845,mobile,CL,0
T00284,ACC017,17,11985,atm,CL,0
T00285,ACC002,22,105392,atm,CL,0
T00286,ACC028,16,51096,atm,CL,0
T00287,ACC004,17,13531,atm,CL,0
T00288,ACC024,20,97474,pos,CL,0
T00289,ACC006,19,116274,atm,CL,0
T00290,ACC030,22,131076,atm,CL,0
T00291,ACC024,15,137125,web,CL,0
T00292,ACC020,9,112280,pos,CL,0
T00293,ACC004,16,48305,atm,CL,0
T00294,ACC010,17,21989,atm,CL,0
T00295,ACC023,20,117894,mobile,CL,0
T00296,ACC002,18,117367,pos,CL,0
T00297,ACC021,20,93421,atm,CL,0
T00298,ACC012,9,16036,pos,CL,0
T00299,ACC005,12,135502,web,CL,0
T00300,ACC003,8,115864,mobile,CL,0
